id_anuncio,titulo_anuncio,provincia,municipio,tamano_m2,habitaciones,banos,planta,tiene_ascensor,tiene_terraza,tiene_trastero,calefaccion,estado,url_foto,precio_actual,precio_anterior,bajada_precio
100021,Piso en venta en Norte,Madrid,Pinto,137,2,2,Ático,False,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/8180.jpg,310491,332482,21991
100022,Piso en venta en El Bercial,Madrid,Getafe,93,1,2,1,False,False,False,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/2471.jpg,218111,226089,7978
100023,Piso en venta en Centro,Madrid,Parla,67,3,1,2,True,False,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/5077.jpg,159713,181250,21537
100024,Piso en venta en Loranca,Madrid,Getafe,106,2,2,Bajo,True,False,False,Central,Buen estado,https://img-portal-inmo.com/fotos/4752.jpg,260979,296239,35260
100025,Piso en venta en La Fortuna,Madrid,Parla,55,1,1,Ático,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/1841.jpg,150104,167389,17285
100026,Piso en venta en El Bercial,Madrid,Alcorcón,117,3,3,1,False,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8266.jpg,268866,282824,13958
100027,Piso en venta en Norte,Madrid,Parla,162,3,3,2,True,True,False,Central,A reformar,https://img-portal-inmo.com/fotos/8668.jpg,377181,377342,161
100028,Piso en venta en Norte,Madrid,Alcorcón,132,5,1,3,False,True,True,Central,A reformar,https://img-portal-inmo.com/fotos/6100.jpg,294994,316729,21735
100029,Piso en venta en Sur,Madrid,Móstoles,133,2,3,1,False,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/2239.jpg,300558,324208,23650
100030,Piso en venta en Sur,Madrid,Alcorcón,99,2,3,Bajo,False,True,False,Gas Natural,Obra nueva,https://img-portal-inmo.com/fotos/2572.jpg,215146,230893,15747
100031,Piso en venta en Centro,Madrid,Fuenlabrada,53,1,3,Ático,True,False,False,Central,A reformar,https://img-portal-inmo.com/fotos/2796.jpg,128058,129911,1853
100032,Piso en venta en El Bercial,Madrid,Alcorcón,56,5,1,4,False,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/9246.jpg,139497,155983,16486
100033,Piso en venta en El Bercial,Madrid,Fuenlabrada,157,2,2,6,True,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/1077.jpg,343011,370390,27379
100034,Piso en venta en Loranca,Madrid,Pinto,52,3,3,Ático,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/1315.jpg,148467,153406,4939
100035,Piso en venta en Loranca,Madrid,Pinto,80,2,2,4,True,True,False,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/7141.jpg,204854,234245,29391
100036,Piso en venta en Loranca,Madrid,Parla,169,5,2,1,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/5091.jpg,396294,414250,17956
100037,Piso en venta en Sur,Madrid,Parla,94,4,3,4,True,True,False,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/9948.jpg,231679,244951,13272
100038,Piso en venta en El Bercial,Madrid,Parla,151,3,3,2,True,False,False,Central,A reformar,https://img-portal-inmo.com/fotos/5339.jpg,336250,356495,20245
100039,Piso en venta en El Bercial,Madrid,Alcorcón,53,2,2,5,False,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/1034.jpg,104759,111066,6307
100040,Piso en venta en Norte,Madrid,Parla,111,3,3,Bajo,True,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/5663.jpg,265253,290825,25572
100041,Piso en venta en Sur,Madrid,Alcorcón,97,1,1,3,False,True,True,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/9641.jpg,220987,230397,9410
100042,Piso en venta en La Fortuna,Madrid,Alcorcón,126,3,1,Bajo,True,False,True,Central,A reformar,https://img-portal-inmo.com/fotos/5027.jpg,268590,304986,36396
100043,Piso en venta en Sur,Madrid,Leganés,154,2,3,3,True,True,True,Central,Buen estado,https://img-portal-inmo.com/fotos/9535.jpg,344068,373630,29562
100044,Piso en venta en La Fortuna,Madrid,Leganés,97,1,2,Ático,True,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/1653.jpg,232013,262635,30622
100045,Piso en venta en Norte,Madrid,Alcorcón,158,1,3,4,True,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/7303.jpg,365784,416118,50334
100046,Piso en venta en Centro,Madrid,Pinto,107,1,1,2,True,True,False,No tiene,Obra nueva,https://img-portal-inmo.com/fotos/9132.jpg,244231,272392,28161
100047,Piso en venta en El Bercial,Madrid,Fuenlabrada,63,4,2,3,True,True,True,Central,A reformar,https://img-portal-inmo.com/fotos/3985.jpg,142176,147372,5196
100048,Piso en venta en Norte,Madrid,Móstoles,168,4,3,6,True,False,False,Central,Obra nueva,https://img-portal-inmo.com/fotos/3184.jpg,387524,406691,19167
100049,Piso en venta en El Bercial,Madrid,Getafe,130,1,1,Ático,True,False,False,Central,Buen estado,https://img-portal-inmo.com/fotos/6835.jpg,308176,318771,10595
100050,Piso en venta en Loranca,Madrid,Leganés,114,2,2,Ático,True,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/9437.jpg,280892,300141,19249
100051,Piso en venta en Centro,Madrid,Alcorcón,91,1,1,4,True,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/2438.jpg,221453,238427,16974
100052,Piso en venta en Centro,Madrid,Getafe,152,1,3,3,False,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/2218.jpg,335567,352609,17042
100053,Piso en venta en Norte,Madrid,Leganés,64,3,3,1,True,True,True,Central,A reformar,https://img-portal-inmo.com/fotos/1420.jpg,145357,164378,19021
100054,Piso en venta en Centro,Madrid,Móstoles,81,3,1,Bajo,True,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/9241.jpg,192350,203762,11412
100055,Piso en venta en La Fortuna,Madrid,Fuenlabrada,174,3,1,5,True,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/1833.jpg,399614,441828,42214
100056,Piso en venta en Centro,Madrid,Alcorcón,80,5,1,5,False,False,True,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/8544.jpg,156722,176324,19602
100057,Piso en venta en El Bercial,Madrid,Móstoles,177,3,1,Ático,True,True,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/4038.jpg,409178,419058,9880
100058,Piso en venta en El Bercial,Madrid,Pinto,108,3,1,2,True,False,False,Central,A reformar,https://img-portal-inmo.com/fotos/1850.jpg,254661,281970,27309
100059,Piso en venta en El Bercial,Madrid,Leganés,51,2,2,4,True,False,True,Central,A reformar,https://img-portal-inmo.com/fotos/3548.jpg,127384,130434,3050
100060,Piso en venta en El Bercial,Madrid,Alcorcón,164,4,3,2,True,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/6729.jpg,359736,400952,41216
100061,Piso en venta en La Fortuna,Madrid,Getafe,66,4,2,Bajo,True,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/4731.jpg,164009,177966,13957
100062,Piso en venta en Sur,Madrid,Pinto,90,4,1,5,True,False,True,No tiene,A reformar,https://img-portal-inmo.com/fotos/2528.jpg,216508,233208,16700
100063,Piso en venta en Loranca,Madrid,Pinto,154,5,2,3,False,True,False,Central,A reformar,https://img-portal-inmo.com/fotos/7763.jpg,307764,332237,24473
100064,Piso en venta en Norte,Madrid,Parla,90,1,3,Ático,True,False,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/6128.jpg,232416,246413,13997
100065,Piso en venta en El Bercial,Madrid,Fuenlabrada,72,3,1,3,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/4000.jpg,182122,183477,1355
100066,Piso en venta en Centro,Madrid,Pinto,131,2,1,2,True,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/4050.jpg,316762,343022,26260
100067,Piso en venta en El Bercial,Madrid,Leganés,79,5,3,3,False,False,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/4355.jpg,226355,227117,762
100068,Piso en venta en Centro,Madrid,Fuenlabrada,173,4,2,3,True,False,False,Central,Buen estado,https://img-portal-inmo.com/fotos/1171.jpg,377354,429013,51659
100069,Piso en venta en Loranca,Madrid,Alcorcón,53,5,3,6,True,True,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/3174.jpg,149083,154652,5569
100070,Piso en venta en Loranca,Madrid,Parla,53,2,3,6,True,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/6580.jpg,146543,160807,14264
100071,Piso en venta en Loranca,Madrid,Móstoles,66,5,2,3,True,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/3763.jpg,156750,169923,13173
100072,Piso en venta en Centro,Madrid,Fuenlabrada,114,4,2,Ático,False,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/3575.jpg,286761,313289,26528
100073,Piso en venta en El Bercial,Madrid,Getafe,109,1,1,1,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/6563.jpg,230048,241238,11190
100074,Piso en venta en Loranca,Madrid,Leganés,87,4,1,Ático,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/4915.jpg,232185,247838,15653
100075,Piso en venta en La Fortuna,Madrid,Getafe,61,4,1,6,True,False,False,Gas Natural,Obra nueva,https://img-portal-inmo.com/fotos/4681.jpg,134654,149782,15128
100076,Piso en venta en Centro,Madrid,Fuenlabrada,112,4,3,4,False,True,True,Central,A reformar,https://img-portal-inmo.com/fotos/1957.jpg,240962,255101,14139
100077,Piso en venta en Centro,Madrid,Parla,73,5,2,Ático,True,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/3862.jpg,194838,203162,8324
100078,Piso en venta en El Bercial,Madrid,Móstoles,179,2,2,4,True,True,False,Central,Buen estado,https://img-portal-inmo.com/fotos/5964.jpg,429039,431039,2000
100079,Piso en venta en Centro,Madrid,Móstoles,88,4,1,Ático,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/2860.jpg,232066,248634,16568
100080,Piso en venta en Centro,Madrid,Getafe,177,5,3,Ático,True,True,False,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/3479.jpg,405904,448193,42289
100081,Piso en venta en Loranca,Madrid,Alcorcón,178,2,3,5,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/9292.jpg,408663,426364,17701
100082,Piso en venta en El Bercial,Madrid,Alcorcón,51,1,2,Ático,True,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/2977.jpg,129653,146489,16836
100083,Piso en venta en Loranca,Madrid,Parla,98,4,2,6,True,False,False,No tiene,Obra nueva,https://img-portal-inmo.com/fotos/3801.jpg,228160,232124,3964
100084,Piso en venta en Loranca,Madrid,Móstoles,90,3,2,Ático,True,False,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/1018.jpg,200921,212172,11251
100085,Piso en venta en El Bercial,Madrid,Getafe,48,5,2,Bajo,False,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/7368.jpg,119713,132993,13280
100086,Piso en venta en Norte,Madrid,Getafe,135,1,3,3,True,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/2522.jpg,321982,368806,46824
100087,Piso en venta en Loranca,Madrid,Getafe,105,1,1,2,False,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/3561.jpg,249191,263314,14123
100088,Piso en venta en La Fortuna,Madrid,Fuenlabrada,155,1,2,3,True,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8588.jpg,353435,392736,39301
100089,Piso en venta en La Fortuna,Madrid,Parla,81,5,2,Bajo,True,True,False,No tiene,Obra nueva,https://img-portal-inmo.com/fotos/8313.jpg,169643,187253,17610
100090,Piso en venta en Centro,Madrid,Alcorcón,47,2,2,3,True,True,False,Central,Buen estado,https://img-portal-inmo.com/fotos/6933.jpg,158643,180936,22293
100091,Piso en venta en La Fortuna,Madrid,Alcorcón,57,3,3,1,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/3399.jpg,144292,155137,10845
100092,Piso en venta en Centro,Madrid,Fuenlabrada,132,2,1,Ático,True,True,True,No tiene,A reformar,https://img-portal-inmo.com/fotos/9856.jpg,283027,308074,25047
100093,Piso en venta en Norte,Madrid,Leganés,120,4,3,Bajo,True,True,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8131.jpg,257865,264138,6273
100094,Piso en venta en El Bercial,Madrid,Fuenlabrada,52,3,1,4,False,False,True,No tiene,A reformar,https://img-portal-inmo.com/fotos/1005.jpg,97523,101422,3899
100095,Piso en venta en El Bercial,Madrid,Parla,127,2,3,4,True,True,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/5761.jpg,278943,305426,26483
100096,Piso en venta en El Bercial,Madrid,Getafe,53,4,2,1,True,True,False,Central,A reformar,https://img-portal-inmo.com/fotos/1959.jpg,140421,152217,11796
100097,Piso en venta en La Fortuna,Madrid,Fuenlabrada,122,3,2,Ático,False,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/1251.jpg,272454,290666,18212
100098,Piso en venta en Norte,Madrid,Getafe,168,5,1,4,True,True,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/4831.jpg,357459,395020,37561
100099,Piso en venta en La Fortuna,Madrid,Parla,86,4,3,5,False,True,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/3247.jpg,214612,222497,7885
100100,Piso en venta en La Fortuna,Madrid,Pinto,85,2,1,1,True,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/1280.jpg,200791,221850,21059
100101,Piso en venta en Norte,Madrid,Parla,133,3,3,4,True,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/5982.jpg,302286,310804,8518
100102,Piso en venta en Norte,Madrid,Móstoles,121,4,2,6,False,True,True,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/7045.jpg,237952,255610,17658
100103,Piso en venta en Norte,Madrid,Getafe,98,4,1,Ático,True,False,True,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/2451.jpg,242727,246859,4132
100104,Piso en venta en Norte,Madrid,Alcorcón,141,5,1,4,True,False,True,Central,A reformar,https://img-portal-inmo.com/fotos/5097.jpg,316853,341435,24582
100105,Piso en venta en El Bercial,Madrid,Fuenlabrada,142,4,2,Ático,False,False,True,No tiene,A reformar,https://img-portal-inmo.com/fotos/3553.jpg,299218,336082,36864
100106,Piso en venta en Sur,Madrid,Pinto,100,3,2,5,False,False,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/6057.jpg,207079,222103,15024
100107,Piso en venta en Sur,Madrid,Parla,144,1,2,3,False,True,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/2152.jpg,331324,347621,16297
100108,Piso en venta en Norte,Madrid,Getafe,54,3,2,6,True,False,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/8016.jpg,144031,147011,2980
100109,Piso en venta en Sur,Madrid,Pinto,88,3,2,Ático,False,True,False,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/1760.jpg,202928,213850,10922
100110,Piso en venta en Sur,Madrid,Leganés,174,5,2,Bajo,True,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8481.jpg,366632,413753,47121
100111,Piso en venta en Norte,Madrid,Móstoles,174,5,3,4,False,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/9281.jpg,397568,420891,23323
100112,Piso en venta en Sur,Madrid,Leganés,63,4,3,Bajo,True,False,True,Central,Obra nueva,https://img-portal-inmo.com/fotos/7218.jpg,132871,136556,3685
100113,Piso en venta en La Fortuna,Madrid,Parla,124,5,1,Ático,True,False,True,No tiene,Obra nueva,https://img-portal-inmo.com/fotos/8366.jpg,294140,333340,39200
100114,Piso en venta en Centro,Madrid,Leganés,133,4,3,Bajo,False,True,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/1411.jpg,256955,292724,35769
100115,Piso en venta en Centro,Madrid,Leganés,45,1,1,Ático,False,True,False,Central,A reformar,https://img-portal-inmo.com/fotos/6599.jpg,85000,97163,12163
100116,Piso en venta en Norte,Madrid,Móstoles,174,2,3,Ático,False,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/9827.jpg,372537,401524,28987
100117,Piso en venta en El Bercial,Madrid,Móstoles,71,5,3,4,True,True,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/8415.jpg,183870,199376,15506
100118,Piso en venta en Norte,Madrid,Móstoles,46,5,2,6,True,True,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/2438.jpg,135030,141177,6147
100119,Piso en venta en El Bercial,Madrid,Pinto,63,1,3,Bajo,False,False,True,No tiene,A reformar,https://img-portal-inmo.com/fotos/1179.jpg,130019,136588,6569
100120,Piso en venta en Centro,Madrid,Móstoles,158,5,3,5,True,False,True,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/4373.jpg,371279,399974,28695
100121,Piso en venta en Norte,Madrid,Leganés,100,1,3,1,False,True,True,No tiene,A reformar,https://img-portal-inmo.com/fotos/2555.jpg,219457,224781,5324
100122,Piso en venta en Loranca,Madrid,Alcorcón,139,4,2,6,False,False,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/3098.jpg,307809,352239,44430
100123,Piso en venta en La Fortuna,Madrid,Alcorcón,101,5,2,5,False,True,True,Eléctrica,Obra nueva,https://img-portal-inmo.com/fotos/3785.jpg,214821,236895,22074
100124,Piso en venta en Sur,Madrid,Móstoles,146,5,3,2,True,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/8614.jpg,346556,348982,2426
100125,Piso en venta en El Bercial,Madrid,Pinto,114,4,1,Ático,False,True,False,Eléctrica,Obra nueva,https://img-portal-inmo.com/fotos/6779.jpg,255065,264945,9880
100126,Piso en venta en Loranca,Madrid,Fuenlabrada,126,5,3,1,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/3150.jpg,288618,301612,12994
100127,Piso en venta en Sur,Madrid,Getafe,93,3,2,6,False,True,True,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/2787.jpg,207876,208196,320
100128,Piso en venta en Sur,Madrid,Parla,135,1,2,4,True,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/1466.jpg,297048,340904,43856
100129,Piso en venta en Norte,Madrid,Pinto,49,2,1,1,True,False,False,Central,A reformar,https://img-portal-inmo.com/fotos/7294.jpg,97199,101277,4078
100130,Piso en venta en Sur,Madrid,Fuenlabrada,101,3,2,5,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/8681.jpg,249486,251418,1932
100131,Piso en venta en La Fortuna,Madrid,Parla,136,2,2,6,False,False,True,Central,Buen estado,https://img-portal-inmo.com/fotos/5120.jpg,301883,341557,39674
100132,Piso en venta en Loranca,Madrid,Fuenlabrada,80,3,3,Ático,False,True,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/1284.jpg,181686,184697,3011
100133,Piso en venta en Sur,Madrid,Fuenlabrada,156,3,1,2,True,False,False,Central,Buen estado,https://img-portal-inmo.com/fotos/3440.jpg,369917,395207,25290
100134,Piso en venta en Norte,Madrid,Alcorcón,57,3,2,6,False,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/4312.jpg,118154,124616,6462
100135,Piso en venta en La Fortuna,Madrid,Getafe,166,1,2,1,False,True,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/5211.jpg,377272,381685,4413
100136,Piso en venta en Centro,Madrid,Fuenlabrada,153,2,3,6,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/1685.jpg,357558,359305,1747
100137,Piso en venta en Loranca,Madrid,Móstoles,136,4,3,Bajo,True,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/9206.jpg,326493,339659,13166
100138,Piso en venta en Sur,Madrid,Parla,146,4,3,6,True,False,False,Central,A reformar,https://img-portal-inmo.com/fotos/9314.jpg,325817,343397,17580
100139,Piso en venta en Norte,Madrid,Pinto,100,5,3,4,False,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8530.jpg,231287,257188,25901
100140,Piso en venta en Centro,Madrid,Alcorcón,89,1,1,Bajo,False,True,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/5914.jpg,237247,263021,25774
100141,Piso en venta en Centro,Madrid,Parla,104,1,3,6,True,False,False,Central,Buen estado,https://img-portal-inmo.com/fotos/4078.jpg,261751,279981,18230
100142,Piso en venta en El Bercial,Madrid,Móstoles,98,1,1,Ático,True,True,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/1534.jpg,220666,227623,6957
100143,Piso en venta en La Fortuna,Madrid,Móstoles,81,3,2,Bajo,True,True,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/6350.jpg,195630,220342,24712
100144,Piso en venta en Sur,Madrid,Fuenlabrada,81,1,2,4,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/2365.jpg,213850,234676,20826
100145,Piso en venta en Norte,Madrid,Móstoles,58,4,3,4,True,True,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/5119.jpg,153379,161404,8025
100146,Piso en venta en El Bercial,Madrid,Getafe,139,1,3,3,True,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/6583.jpg,332683,376142,43459
100147,Piso en venta en La Fortuna,Madrid,Móstoles,146,3,3,2,True,False,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/4777.jpg,309213,347157,37944
100148,Piso en venta en El Bercial,Madrid,Fuenlabrada,86,2,2,Ático,True,True,True,Central,A reformar,https://img-portal-inmo.com/fotos/2806.jpg,211574,211593,19
100149,Piso en venta en Loranca,Madrid,Parla,45,1,2,6,True,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/6189.jpg,133151,150505,17354
100150,Piso en venta en La Fortuna,Madrid,Móstoles,67,2,2,Bajo,True,True,True,Central,Buen estado,https://img-portal-inmo.com/fotos/4053.jpg,159272,171920,12648
100151,Piso en venta en La Fortuna,Madrid,Alcorcón,72,5,1,5,True,False,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/5162.jpg,147680,168157,20477
100152,Piso en venta en Sur,Madrid,Pinto,176,3,2,Bajo,False,False,False,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/1635.jpg,367114,409555,42441
100153,Piso en venta en La Fortuna,Madrid,Alcorcón,62,1,3,6,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/3654.jpg,170018,173749,3731
100154,Piso en venta en El Bercial,Madrid,Alcorcón,93,5,1,Ático,True,False,True,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/7050.jpg,207507,218125,10618
100155,Piso en venta en La Fortuna,Madrid,Parla,91,5,1,4,True,True,False,No tiene,Obra nueva,https://img-portal-inmo.com/fotos/3376.jpg,212109,222026,9917
100156,Piso en venta en Sur,Madrid,Leganés,159,2,1,4,True,False,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/7552.jpg,363900,402269,38369
100157,Piso en venta en Sur,Madrid,Pinto,83,4,2,6,True,False,False,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/9232.jpg,172682,186630,13948
100158,Piso en venta en Loranca,Madrid,Alcorcón,50,4,2,6,True,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/8137.jpg,160503,167015,6512
100159,Piso en venta en El Bercial,Madrid,Alcorcón,97,4,2,1,True,True,False,Gas Natural,Obra nueva,https://img-portal-inmo.com/fotos/5466.jpg,232196,258721,26525
100160,Piso en venta en Centro,Madrid,Leganés,69,4,2,Bajo,True,False,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/2964.jpg,133535,146633,13098
100161,Piso en venta en Centro,Madrid,Parla,143,3,3,Bajo,True,False,True,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/4629.jpg,341246,381845,40599
