,precio_actual
1026,311133
7284,313353
3130,157691
1247,348081
11108,152116
9376,358251
655,202737
623,357928
8059,329746
10688,353953
5862,297249
2199,279382
7689,182715
4864,285539
4747,403879
10856,246954
9544,360019
7077,357902
7528,285519
3132,369238
10720,132301
2625,125019
11745,332103
12146,166150
6926,199614
2928,241682
1746,262577
9835,167613
2873,209279
9164,356204
7044,138930
2457,356615
5677,340796
6000,166890
76,240962
10613,308131
12203,362091
11245,106984
2698,261011
11755,353846
7091,168027
6858,379425
5464,353562
2260,360822
1775,295046
3139,376781
3116,329216
93,257865
3069,383330
8509,365585
5169,360904
12383,295654
5531,279608
714,131723
1076,226305
12150,370817
9657,231408
10164,163640
2015,142447
5931,183919
1885,422638
11270,366980
5183,375080
5950,229052
6312,188925
10860,371756
8972,153871
1488,419489
5528,343273
11887,324535
11057,182852
12452,197347
3833,192042
2759,324641
8937,346459
3447,202255
1437,131206
1233,247431
185,252633
10245,282576
2465,293439
3366,212879
3288,349721
3822,381001
1297,268235
10715,228520
4870,373577
4739,280677
449,163724
3286,189436
2960,146346
3800,129196
6927,149966
11950,203582
5820,372203
7563,233347
381,143839
10972,350951
1155,373625
5196,204608
9881,95472
10325,193278
1728,373087
5391,211082
10642,278977
2425,168526
2727,319936
5613,123575
1253,305278
5653,321981
5479,319440
2503,191646
5358,149881
5961,199441
7308,160584
9136,296476
12429,265053
6503,339561
8827,99455
1612,227808
9619,137555
2191,194840
1729,232677
11877,221026
11429,167237
4168,285524
9237,350538
11925,111257
12064,283475
7375,320908
530,129966
3755,286785
5076,336372
12248,139709
12228,256093
3621,278535
4718,239540
10236,273555
8708,299519
6435,340127
9038,236109
4194,363424
11341,301620
5163,301451
3519,230268
144,213850
3617,221216
10249,296079
9022,197096
12004,326132
2755,235879
2492,145381
6670,344357
6148,187869
7601,282413
11311,351869
10634,357630
5706,221710
7936,155258
2889,316605
7100,95433
10533,139475
788,360036
3181,221013
3295,256920
2676,372933
11985,256363
7475,293162
2030,250563
5211,221659
9491,162654
11991,308608
12240,147701
6605,147440
9266,260043
431,85000
9044,295329
1780,192715
10170,409176
7660,180382
10109,337929
9969,148184
349,179080
4031,342711
2909,132726
7268,251669
42,268590
8908,310344
981,185579
2312,317142
7809,324828
3643,218557
7680,341487
5168,202068
3971,384196
12001,173868
5522,341836
5572,370036
12449,176533
4048,405689
3706,222379
3540,296791
916,140070
10066,216949
10271,314846
11234,178525
8589,370202
1616,198752
2846,174792
4879,159460
8991,177628
7252,369497
11237,346876
1833,373031
3851,177395
6434,217614
3873,209270
9029,347017
6310,368861
8994,234640
9004,404722
782,296106
591,375907
1156,248510
1536,292859
8239,398273
4829,342870
6889,140793
12137,242369
6925,235890
3445,264835
2401,336916
10744,256837
3312,99528
4602,277245
10425,367024
2152,390150
4553,214457
5286,250127
12451,387675
7766,141775
11400,171195
9171,150227
2816,394620
4132,252194
3852,212703
8097,111912
5107,285482
6443,108995
3651,206165
3886,239151
8614,278544
3328,251340
11340,326642
9245,372369
5903,179812
3995,250750
6240,337711
7971,123269
1731,300175
7706,207081
11892,277633
11231,254637
3753,249239
1870,360232
2804,134331
5324,335477
2211,227185
10523,194950
7478,285217
3133,238279
168,286605
7450,180152
4483,288913
6590,422700
9375,351494
4074,227660
7369,213948
6351,329626
2107,365248
8248,286085
9464,179467
3034,309707
4030,236495
5814,280091
7338,276742
567,208928
7173,165562
5781,345695
2367,263168
7148,333131
9624,111813
11116,360614
9889,249864
440,358137
2018,396640
11194,351767
8797,334770
7250,260228
10444,308629
6061,305299
11166,154688
10707,135779
5766,371082
6427,391131
8207,145789
1224,344352
10031,377002
2592,138347
3247,247168
2753,383707
6030,140573
10655,316618
10910,238874
2691,163155
36,396294
6188,156935
6482,396710
7649,367646
2249,373501
9394,151081
10635,136460
10053,155317
4842,330538
11386,299444
4962,165774
4519,247130
6762,325372
8242,313201
3914,181771
5042,370610
8644,355431
12234,289242
1360,248186
7370,359339
12302,152512
8998,147065
486,362757
8285,365673
5873,392500
6234,310899
4902,107620
5681,148744
9806,384998
3975,175705
637,197291
10351,197099
5026,339469
9613,157488
8127,182461
3238,307591
8840,387511
7944,180687
3437,391520
5942,177958
7302,97349
12466,188390
4094,308576
5614,216063
5723,200765
167,259877
1915,157740
3470,184174
7309,252917
10758,301860
12359,343357
10903,317899
3369,307116
5494,177985
801,367071
2138,287585
7958,177813
11230,138269
742,150242
7111,181526
9107,355896
10324,325170
4238,372863
4502,126190
10571,259801
4533,178639
11679,384363
4985,285150
8348,247716
5955,214646
2847,363372
7534,268234
2478,403255
715,376439
2957,251864
11691,165008
10591,346394
6853,163841
6824,413224
4847,230084
11748,159659
4671,170736
5117,127649
2089,205344
3669,147313
9199,400100
8430,196816
6001,152963
11290,264693
1834,277051
7631,277786
11158,148717
11888,169985
10375,163227
4320,353402
3857,134050
4104,250954
3608,306917
2485,207810
4822,305257
3819,205178
12345,185702
10788,358667
1886,211620
3003,355213
23,159713
10964,200800
6216,313349
6906,149174
1309,371894
6277,296538
5981,287814
789,236552
5336,213807
6053,420110
9941,368347
11780,356559
3219,133673
11103,174288
2514,201807
11187,386752
3817,137721
10786,326116
9158,236708
7152,131515
11994,372160
6755,244348
1957,254107
3858,330285
11933,111507
10624,186273
5608,172139
7417,370873
3547,257188
11466,231014
1395,200770
9388,273759
7840,350922
5943,353857
3433,185771
12427,216322
9856,286263
8351,128408
12028,225333
9617,163857
7603,269671
6114,329514
1226,278082
9097,129463
3532,369444
4029,191942
12249,267739
6146,317738
7908,341222
4096,244002
10989,229404
7756,377743
10667,264236
4344,318109
3946,154951
1310,117818
4907,123981
4099,264624
12349,129186
10371,335088
5379,223973
7334,404280
4202,190770
8741,220901
1822,254984
7508,353407
1315,404275
7565,401285
4351,170879
8581,178097
10937,374439
2315,212367
2826,184285
4089,408655
9927,252833
2595,282038
9939,244016
1339,355414
3264,340543
4584,179755
738,122950
5259,357001
965,126834
252,349611
6066,236697
5761,229393
2098,215150
8976,171610
4004,396200
3196,355613
872,281701
6018,326276
5785,297004
9069,268767
4162,317458
11765,340624
7465,178666
10322,235853
10814,263581
6255,332899
6495,325244
9915,125565
7746,282121
4192,239454
10289,389047
11360,246372
11454,348542
7306,279750
10438,397505
5933,243131
10079,200220
8604,343791
9021,276760
5362,374279
12258,160202
447,255921
9954,354877
56,156722
3412,258841
3705,336442
2855,188244
6153,355755
2986,370009
476,325483
10103,375043
7198,150142
4639,194483
11529,373776
6080,337587
4313,255494
8292,230075
5916,120464
9845,375195
6369,242129
750,156276
10955,232196
11607,399067
9688,212121
376,269841
2458,205705
6536,124855
6688,384008
4614,116800
10999,222217
11277,366777
8814,359351
6562,218805
4504,359405
12484,334300
8736,148407
3601,278290
3550,256170
8890,297116
9712,141950
2400,223151
6827,363910
9629,212202
6874,301370
7187,396365
6458,317361
11907,175170
8704,256493
9770,210660
8075,326550
5687,306408
7391,311931
4193,121318
227,161629
5964,347090
2317,227646
9401,304477
4403,189280
5692,341560
2648,358838
1508,154496
6444,121006
11660,344254
1684,126393
499,147344
7325,298723
1699,147724
1877,340320
5371,254169
513,149813
10678,266755
9350,244210
8222,168368
2704,221292
820,155664
6454,152311
9448,230511
12200,271927
6930,234787
5993,332513
2448,334690
474,212373
6194,314427
4189,163527
5682,194511
3844,192846
9653,403445
2916,320469
6225,213133
11524,364556
480,341160
9473,357495
9979,321700
9059,334684
2577,327898
11303,205171
5937,334412
12213,207476
4328,381589
4706,182397
7359,379933
7708,338362
1596,135202
6345,339351
1349,114100
12163,242110
6983,117691
3685,199419
9256,337008
2922,154837
3434,186185
11484,263516
7516,325292
1606,349478
5321,131539
3031,316140
2762,360648
12284,331284
4459,401485
8674,253628
8607,273163
3148,383845
6572,325318
1659,362487
9072,184301
11326,302332
11085,368336
1446,228223
4301,355201
1020,152499
705,242836
4450,194232
1866,136392
11005,338209
4560,120662
9212,222852
2122,318231
7362,372915
2574,236808
10094,340394
1921,421403
3614,152306
2956,188995
7402,316995
8694,251527
11819,148165
12127,302050
1419,369676
3424,355542
11760,296758
8385,247816
6025,176481
2025,204497
594,326703
1558,348125
5829,251278
4952,356863
4779,259733
10675,247243
3523,157548
8051,268051
11841,407530
12272,291765
3400,325600
2058,307153
9933,408411
4438,360535
4789,249015
11686,268889
11981,376461
2652,221746
10760,152950
6934,334616
4139,197540
5800,346682
7653,317584
7550,270055
535,335322
9830,337322
292,369682
2836,146455
4851,284851
9647,393712
2870,180004
5357,178375
6877,361616
10312,388541
9641,276250
4984,167852
10944,345391
8098,362105
1318,348035
2730,317768
4489,159535
7702,295273
9661,143114
9408,240253
9898,337246
7146,209837
10313,292197
10628,309307
9597,133789
11387,394406
2546,167875
2228,410106
5802,160119
6455,400389
11082,314966
10942,212404
3284,202622
4608,253323
8788,222783
4122,174352
356,286226
12412,303330
9327,209678
12433,350311
8498,377764
10399,331091
3752,169709
837,200590
6159,280931
266,237661
10859,173685
2006,118550
4216,176462
5666,154929
9055,407355
2362,142566
5605,258767
8269,319901
10277,227517
9132,369561
511,206472
2899,167378
1890,204857
3465,309371
8317,85000
157,172682
4215,303231
127,207876
10469,406330
8132,215643
1441,252854
5902,224068
7234,175318
7895,232837
2748,213873
9334,334891
8360,267594
11074,214125
6384,346190
9332,195478
5970,360359
3061,348865
11972,199703
6551,181137
6098,245081
10455,389174
1057,367461
1963,290418
3125,365656
4100,234321
4708,317975
1127,365685
7135,387854
8402,191883
10481,106555
4345,162923
9258,211021
11552,353694
11903,279650
5227,248512
10680,102829
8744,223294
1543,266889
3263,292980
6508,119332
9517,386275
3509,355880
8109,223776
2268,256366
10416,164484
12250,110620
5489,293592
132,181686
8802,168965
9402,211660
10543,234807
603,144686
4484,173313
12215,368509
3704,332994
8883,312380
393,374622
11423,184687
3896,231437
9121,136549
5364,360490
10945,376659
12314,255403
8001,236632
3973,362994
11722,403211
4112,117941
11910,322683
11060,280386
181,359357
2277,229681
4477,194368
3234,358559
6075,166596
10131,281217
4395,357532
5066,361888
8602,353031
4898,89762
10662,250523
401,217260
8067,250031
4233,219358
1631,251535
3921,128339
4924,347178
9578,155553
8005,145851
6152,297543
9808,117167
12355,223731
3403,208613
8661,306974
7529,263337
10830,366765
4394,184482
4385,146225
8777,398658
7704,311025
7476,191692
9487,322730
4040,248558
3602,276505
6500,217195
5219,376415
6666,219661
2067,301960
11610,218796
7211,329595
5940,388652
5434,334877
1599,191078
5225,123490
11135,233652
1385,365105
11624,351916
7738,162676
4012,370729
8375,251575
10802,265290
1405,233766
6128,195097
3275,316383
809,234820
9191,262944
2029,344104
10101,358893
2650,328773
4617,308157
3024,361359
12378,120163
8413,395890
9726,295381
11648,270246
8977,163107
3620,364093
1702,186201
4682,358906
61,164009
3650,231696
1503,266853
5349,237871
7608,124862
2094,377129
5360,267182
10542,411402
1880,203828
3370,189708
11732,376487
3724,384026
6392,233444
5858,373008
10806,225330
8806,254644
2287,236657
7328,297518
9307,238967
5824,328284
12269,354538
10618,210839
7050,400973
664,214460
2906,385598
9811,170792
9272,264707
1046,345711
7301,261144
2404,230957
5651,235787
1705,260581
3347,395393
1568,215372
462,318924
743,299098
222,141450
8171,319578
6408,269151
4102,342389
625,114428
6839,190642
7087,166216
2188,229296
2177,194273
7477,199515
3499,288432
11435,407819
6270,382927
9157,172476
7656,105167
438,208854
12008,214278
12271,318594
353,165019
11694,400153
456,180838
10025,105919
9027,227286
239,389659
2621,124702
5532,245999
230,162424
5863,416586
8973,240471
9054,203724
6258,264937
7639,353349
4716,155812
1018,116973
7567,139134
8889,253009
8492,229336
1760,192661
5963,186379
842,345910
12264,294354
10596,320735
7072,174104
1103,223947
3891,317144
10242,146596
2902,156176
8332,235655
4170,253763
11280,149940
3251,285413
10111,156355
8897,146277
3063,343171
5129,314409
6387,196314
6072,230701
2947,231352
11445,338381
11533,185848
7499,171487
3431,206835
11768,248293
6885,340522
6931,211088
10878,330947
8028,340035
4981,366142
10058,161402
10503,388297
5514,196843
1034,97131
2264,277951
9427,169169
6044,181956
8513,342851
10405,354470
906,145325
8403,316840
8929,292334
368,378994
12375,141858
3593,176213
1415,221733
4410,321912
2286,339454
9311,388450
9150,271930
12388,354107
11446,121881
5664,247413
114,256955
9602,105425
11042,190246
5580,148774
4127,342734
2900,349579
1721,163432
11977,241440
4365,279188
3184,95035
7360,422064
1824,220770
3080,109528
9906,150736
3023,377093
7320,243401
10052,278117
1901,119329
11726,165181
3232,146484
2320,193186
1918,205565
11883,174278
10381,315710
4526,239757
1569,160934
8855,189591
347,129469
1242,233393
420,124044
9820,373292
9438,223426
37,231679
4023,85000
10163,248026
6860,352954
9000,276873
10892,188089
1031,280526
4509,248607
7318,382715
4490,351386
7589,195099
8779,171516
10366,313753
9066,290159
4536,366238
763,254066
10107,247876
11102,263422
8294,251955
8858,250346
11047,232470
2484,285910
12133,258921
1222,309418
10156,399675
8878,323878
2134,290805
2423,386395
6947,207123
5853,226803
9449,303533
11756,230490
6281,304898
5646,116896
6903,239531
6849,142318
4700,227735
1575,406968
509,287876
9724,262662
6728,337350
11490,277895
2304,354046
9731,369911
8732,274052
10496,205974
748,141917
10259,155347
12011,287627
1259,261352
3077,249035
8856,257338
1888,132178
12042,377853
6104,133094
6908,341056
711,297448
9749,147927
11398,166301
6790,297730
4219,231568
7290,322458
1372,327651
12437,336543
5272,255744
712,199508
3329,239122
3293,143540
6700,122585
9853,338532
12384,229543
5381,388959
5145,247637
7413,351874
10874,345998
8376,311772
10022,347221
8486,137020
9447,369857
1482,342415
1489,216012
104,316853
12485,217481
1794,391878
2386,134859
8214,146689
9957,331672
1658,406174
212,163403
9814,318153
11772,154310
1359,156895
334,298176
5577,411891
3110,221691
792,260170
233,393385
6145,305924
1064,223418
209,179318
9553,211906
5928,310482
12403,333100
12457,293404
2413,396400
9407,349256
6399,151224
10891,160488
11164,216205
871,271364
1263,119694
1618,119998
2414,386709
9611,208177
1220,198956
1765,196978
4303,336691
6118,360491
11115,368643
2001,146229
12066,200529
10235,244597
7436,260027
3582,173500
2523,101676
7794,353252
9665,197381
3078,236887
8615,129136
6850,271859
10843,195734
11313,353130
8471,261225
2165,151504
617,142275
12122,386247
6224,163501
5790,301428
10020,395278
8542,287497
11706,126504
6759,172697
12247,190066
2004,194278
11944,292530
3047,407762
11460,318467
5044,196668
6991,291358
7054,299904
3095,356411
5146,245494
3285,300116
12061,330334
7590,289316
5106,266366
1313,320992
5444,290868
5372,390660
11274,339278
2903,299945
9987,154708
3333,301720
3053,239615
9263,238991
7134,148462
2269,126491
6202,375673
7067,271310
8309,246410
7453,325053
8790,326871
4439,302309
8138,185687
12243,324155
2114,234066
10105,247653
6452,257561
4281,158421
2602,331381
10331,249310
8726,150594
7514,164224
520,271661
9800,118672
5007,125815
7533,212532
9099,238206
1092,295936
12361,209690
6201,151827
6302,326265
3771,167523
1109,372861
1038,354538
7502,253900
20,342275
5957,226105
11500,287732
934,346451
5270,196662
11956,116480
8129,226548
1726,344787
8585,384886
11781,104067
1737,265344
11123,400623
561,216059
4989,122926
11825,339181
9909,241358
1162,319120
6977,179494
11146,308531
9546,129539
1527,321387
5400,152714
2930,378440
58,254661
11975,264350
5758,219519
10649,253960
2291,234383
10714,181009
5749,316230
7787,183596
9642,215553
1649,347394
4279,324998
2724,192407
7501,359842
6014,254379
10889,242420
11872,143860
8793,117174
6425,150319
8144,293325
3870,228328
11048,300604
11881,178512
2907,260035
8993,198413
3538,331897
7113,217606
11235,144544
8446,255965
1817,413896
12202,259334
3949,211905
337,354110
2072,312463
12324,282204
9935,352906
11168,107371
3513,353996
2815,205375
5841,216357
11083,285156
7416,405420
11178,224427
766,375829
3782,257361
5437,352564
1144,262417
10660,87020
2510,237809
5153,251533
2273,271394
7652,148069
5834,319713
6630,293313
8469,359187
8606,335716
11356,204529
1672,157458
6440,271398
8161,275226
4055,206869
5120,325729
1808,206657
2275,233093
3761,201653
4885,141454
8826,360927
8231,384274
2045,185560
7332,207590
6959,251969
1295,400656
6143,398392
3952,288140
8953,240313
8379,192912
444,348685
858,354759
841,141450
4871,157513
9201,160277
9644,284681
994,152775
6883,229633
1554,407643
7844,192781
12430,264899
11767,231832
7645,334770
6729,238837
2513,388295
2835,216982
7401,144069
2233,252944
3050,157924
8359,219698
400,210169
5174,264666
11822,264391
7755,269285
1023,345384
3298,365839
7623,306347
8635,278527
10297,271178
9964,228485
11040,201811
4532,225792
11250,297182
4080,277679
803,288678
1550,349960
1009,177308
10974,269154
2737,202361
648,341918
10193,203219
2862,377827
4983,421413
10070,137098
550,287165
9384,363622
12329,267044
211,294169
10439,277656
11294,240735
6208,336298
11348,348118
3543,338681
5218,206437
1438,220630
2515,156247
2868,368448
2434,162018
9592,140257
7272,324512
4398,352116
1314,375522
7366,194832
6029,174010
3979,203687
12,235166
818,343277
2784,121840
11848,278366
453,240958
11052,159750
12111,273652
1656,168678
3457,392547
4600,264709
10911,224544
9822,332879
10836,107310
2908,239436
7065,242468
940,377558
4679,336984
6081,256180
10610,382829
6092,379733
5566,85000
7772,160973
9603,106361
4730,297402
1400,267606
30,215146
3677,219043
6698,185754
6032,224555
6814,103991
10148,381529
6779,326641
1108,337207
10434,221419
11298,141689
3229,329114
5298,297875
9103,321777
7796,107374
3319,260677
8200,405555
12369,279367
7700,195138
7743,204870
6954,213927
5155,240534
9344,384165
1563,240100
4454,395513
6478,227515
3071,326661
9725,291918
10464,401167
9495,148299
9894,222935
7224,338903
8233,349305
8318,336499
9515,382827
8225,283421
5667,177940
10846,325148
4782,178583
11512,352600
2213,172049
9116,205486
7625,209570
9967,251187
7785,336382
2111,312907
4635,342084
11318,223954
6817,255734
8054,368316
4446,212777
11281,174467
10251,325344
5478,123408
11682,273220
10027,306004
7960,286298
7749,282766
355,352087
1429,198260
6180,231783
8836,271180
9037,329268
8052,183629
332,377804
6856,165007
11155,156726
4224,267160
964,313927
120,371279
11025,359173
7965,248772
3281,269178
2370,317341
2544,234122
5822,124425
7300,165724
2885,273102
8374,186940
2178,212924
6596,286932
12035,128885
8101,330789
3123,369708
10017,362025
1544,366647
8180,176893
11884,158649
8963,189930
4802,151883
11575,281091
7341,145972
945,334001
8104,367586
11485,340004
10696,154509
11894,353939
1675,350074
7530,171869
1561,372978
7383,153072
5460,349377
9359,386105
1095,175821
8902,114373
3287,106717
10330,381453
11450,345309
2605,218983
1392,258395
4890,148783
10801,192895
752,149745
11030,214317
3737,131658
12225,156840
10663,164879
3215,309826
6734,222326
8209,189021
1777,166870
4113,420538
1770,260506
12086,366841
4874,381365
3022,177991
4228,228469
3012,238149
11396,339549
11222,285050
9242,305767
4794,213648
7959,259315
527,115440
6442,299873
11455,160195
4264,207135
4262,365366
5809,304765
1919,162620
701,362421
10162,325171
6417,180980
6786,151769
9893,363268
1298,375563
4872,244386
1352,173841
2926,238906
9716,344161
1287,319302
4610,354315
10229,179787
11665,100003
11613,238142
3697,341460
2013,305839
7628,374417
4373,210984
5425,329258
7940,379045
2147,180346
7406,255591
6473,367772
11033,210746
7808,285394
8426,398733
4731,344596
9383,362278
9012,323265
5065,199287
12140,126474
810,98624
6742,290004
2073,294624
11680,149760
9419,352162
10839,181877
885,153102
1477,290746
1790,156418
10560,373873
2008,136508
9411,335572
682,183443
3895,195042
9946,123319
6554,381997
10767,294254
57,409178
6499,136274
2399,368981
9974,210558
12030,316243
12387,271679
6604,356904
7310,331487
1468,367845
1416,309069
11373,254409
2358,377251
7458,218086
5006,370686
10648,338811
10586,145760
4525,362185
4629,188442
10076,205086
3869,207969
11986,312644
10753,142945
4640,303991
8192,339863
8887,207889
9840,367165
1055,119891
2281,308256
6545,257164
1924,253423
9403,85000
11275,214445
1075,339866
1115,381153
3936,157820
3533,421849
7066,129158
460,296137
3032,215568
4207,236878
11122,113033
1452,375295
2149,283467
319,217603
7864,235128
1922,278384
8681,346645
11091,143293
10184,146406
10087,373501
5206,394324
2129,146697
7852,324481
6346,238046
2509,413008
1052,268073
6237,203109
8579,166695
4067,151650
1456,142531
9306,197146
361,322131
12332,288057
3145,196201
5803,322553
11020,210341
9457,249536
8701,384129
6348,268754
7914,184818
540,255407
7621,359797
10573,194492
6826,301744
11265,159349
754,370452
10683,349249
2003,297337
2542,135357
6187,107823
5199,138527
5623,338265
4271,209688
100,200791
7249,255859
601,229394
11133,110800
7317,137902
11286,198165
1044,151340
10221,143529
1557,99542
1487,313292
12408,362596
11480,348330
6678,138444
2115,238756
8798,183409
618,249272
6669,387550
6069,261637
11836,143200
3396,246562
1600,374958
8574,270412
8751,377491
1615,237404
1752,348755
6651,185306
6260,261033
2083,344839
5584,309251
8974,252318
7774,203821
7580,358143
12242,237038
675,367937
2545,279936
7484,128363
11217,255450
3999,127774
12018,230757
175,310023
11789,271087
3609,370084
9796,169444
3787,363563
7581,359637
2225,304000
7646,299989
8485,118432
1126,215926
12174,268992
9284,342377
2441,213829
1322,242048
1603,160633
4210,379552
10269,238937
11465,291523
4065,411058
7963,111740
11676,323501
8873,194986
4921,373953
4071,153005
1507,168291
1559,177751
6607,121453
10875,238116
5024,169248
10178,358384
5407,254433
1836,179332
1354,149165
6769,348712
7637,317573
11014,161286
8116,231529
6245,144247
4032,123166
11567,342543
6073,155031
12325,242309
8825,203339
8137,359411
2251,380783
1025,154002
10784,274641
9955,251211
5640,123439
7237,238934
3397,408650
313,157922
8740,191323
6227,187404
11156,257937
10359,225211
4833,248792
10116,375038
5683,353679
2970,214498
5763,157812
6311,243234
3885,258671
12006,124357
10043,263457
4771,330620
5350,198279
8951,232948
8687,288389
5386,378790
9833,310579
6383,338888
9772,273475
1840,120262
11347,389171
7784,386761
3673,218248
9035,259907
11372,224457
4698,225787
12468,328338
3320,377307
2272,164836
11731,146605
4254,354558
4773,224822
8412,297522
7733,157347
847,167563
12045,397918
6512,160902
6214,142687
6178,198359
11946,134418
4597,349676
1417,142401
5595,197000
3848,272919
604,334480
6321,288329
2078,180555
11936,328619
2311,284110
4343,312064
6795,195037
1982,355407
4466,280205
199,304253
485,292264
3270,207510
4724,194630
2823,196395
4551,177417
3245,316905
4453,215915
8521,293268
6466,295956
3749,207231
9706,304693
5838,206864
10196,269740
2794,99766
5070,138010
10215,337677
10264,305505
524,309757
947,327165
9652,352986
10605,263022
1280,317651
122,307809
4366,154786
8552,185060
5526,152051
2302,132816
12138,271464
10450,282925
1005,131177
3460,336761
7861,140804
9367,382191
11212,287591
3055,369963
3566,252368
10084,321533
2132,239614
9571,149897
5880,247434
5376,222885
229,109643
6695,208889
4001,418778
11406,294619
8773,98146
